K,V
1,17836
2,8392
3,5327
4,3815
5,3054
6,2538
7,2153
8,1764
9,1698
10,1460
11,1270
12,1196
13,1048
14,950
15,899
16,846
17,779
18,713
19,678
20,680
21,609
22,588
23,617
24,532
25,545
26,510
27,485
28,458
29,428
30,380
31,389
32,400
33,397
34,386
35,365
36,330
37,334
38,323
39,310
40,309
41,309
42,293
43,260
44,302
45,304
46,283
47,265
48,248
49,273
50,252
51,232
52,222
53,260
54,238
55,221
56,220
57,201
58,212
59,207
60,175
61,189
62,195
63,179
64,159
65,187
66,185
67,138
68,163
69,152
70,169
71,149
72,178
73,158
74,163
75,146
76,157
77,166
78,141
79,164
80,146
81,155
82,136
83,151
84,141
85,144
86,145
87,126
88,133
89,128
90,154
91,123
92,115
93,115
94,119
95,139
96,104
97,130
98,103
99,107
100,106
101,139
102,104
103,104
104,100
105,100
106,99
107,125
108,105
109,130
110,119
111,96
112,105
113,108
114,95
115,105
116,88
117,96
118,103
119,100
120,116
121,82
122,79
123,109
124,103
125,90
126,80
127,79
128,108
129,97
130,82
131,88
132,90
133,95
134,83
135,76
136,78
137,69
138,79
139,97
140,78
141,68
142,89
143,64
144,58
145,78
146,55
147,71
148,93
149,84
150,77
151,81
152,61
153,63
154,69
155,84
156,84
157,74
158,71
159,66
160,76
161,61
162,50
163,57
164,68
165,69
166,58
167,73
168,75
169,74
170,75
171,54
172,56
173,56
174,58
175,64
176,69
177,67
178,57
179,60
180,57
181,67
182,60
183,72
184,65
185,66
186,80
187,50
188,67
189,54
190,59
191,58
192,53
193,45
194,46
195,41
196,58
197,43
198,66
199,61
200,48
201,58
202,64
203,60
204,54
205,54
206,64
207,51
208,41
209,47
210,54
211,51
212,50
213,37
214,50
215,41
216,43
217,51
218,50
219,39
220,42
221,50
222,37
223,47
224,53
225,47
226,39
227,52
228,40
229,49
230,44
231,39
232,45
233,55
234,51
235,44
236,45
237,40
238,35
239,44
240,40
241,43
242,43
243,46
244,47
245,49
246,52
247,48
248,39
249,46
250,43
251,40
252,32
253,36
254,48
255,60
256,32
257,39
258,41
259,48
260,34
261,48
262,52
263,39
264,39
265,51
266,38
267,32
268,36
269,38
270,42
271,38
272,33
273,39
274,35
275,32
276,34
277,42
278,36
279,46
280,43
281,36
282,45
283,36
284,29
285,40
286,38
287,30
288,30
289,26
290,35
291,32
292,28
293,51
294,31
295,33
296,37
297,34
298,36
299,39
300,32
301,32
302,41
303,27
304,39
305,31
306,34
307,40
308,30
309,29
310,30
311,25
312,35
313,34
314,31
315,20
316,44
317,21
318,35
319,38
320,33
321,34
322,27
323,30
324,34
325,35
326,29
327,39
328,34
329,35
330,32
331,28
332,17
333,28
334,28
335,31
336,30
337,28
338,30
339,32
340,35
341,23
342,25
343,30
344,33
345,30
346,24
347,34
348,30
349,31
350,28
351,27
352,28
353,27
354,36
355,28
356,25
357,27
358,33
359,30
360,25
361,21
362,36
363,25
364,32
365,19
366,31
367,31
368,27
369,32
370,30
371,21
372,23
373,29
374,20
375,25
376,27
377,24
378,24
379,28
380,32
381,22
382,29
383,27
384,26
385,25
386,30
387,28
388,22
389,27
390,28
391,19
392,21
393,31
394,23
395,20
396,17
397,22
398,24
399,26
400,18
401,31
402,23
403,28
404,30
405,26
406,24
407,20
408,18
409,26
410,24
411,28
412,23
413,17
414,18
415,18
416,25
417,21
418,22
419,24
420,14
421,19
422,29
423,18
424,23
425,29
426,35
427,26
428,31
429,24
430,26
431,15
432,24
433,16
434,24
435,21
436,20
